type,date,deviceid,roomno,reading
temperature,2015-02-13T16:49:29.3066932Z,temperature6,2,28.14
energy,2015-02-13T16:49:29.3066932Z,energy6,2,2188
humidity,2015-02-13T16:49:29.3066932Z,humidity6,2,124
light,2015-02-13T16:49:29.3066932Z,light6,2,947
temperature,2015-02-13T16:49:29.3167012Z,temperature7,2,20.72
energy,2015-02-13T16:49:29.3167012Z,energy7,2,2341
humidity,2015-02-13T16:49:29.3167012Z,humidity7,2,69
light,2015-02-13T16:49:29.3167012Z,light7,2,2164
temperature,2015-02-13T16:49:29.3277088Z,temperature8,2,25.8
energy,2015-02-13T16:49:29.3277088Z,energy8,2,2724
humidity,2015-02-13T16:49:29.3277088Z,humidity8,2,63
light,2015-02-13T16:49:29.3277088Z,light8,2,1335
temperature,2015-02-13T16:49:29.3377154Z,temperature9,2,19.72
energy,2015-02-13T16:49:29.3377154Z,energy9,2,3418
humidity,2015-02-13T16:49:29.3377154Z,humidity9,2,43
light,2015-02-13T16:49:29.3377154Z,light9,2,648
temperature,2015-02-13T16:49:29.3527263Z,temperature0,3,26.2
energy,2015-02-13T16:49:29.3527263Z,energy0,3,3328
humidity,2015-02-13T16:49:29.3527263Z,humidity0,3,59
light,2015-02-13T16:49:29.3527263Z,light0,3,1705
temperature,2015-02-13T16:49:29.3657353Z,temperature1,3,24.53
energy,2015-02-13T16:49:29.3657353Z,energy1,3,3025
humidity,2015-02-13T16:49:29.3657353Z,humidity1,3,66
light,2015-02-13T16:49:29.3657353Z,light1,3,819
temperature,2015-02-13T16:49:29.3817472Z,temperature2,3,22.29
energy,2015-02-13T16:49:29.3817472Z,energy2,3,4421
humidity,2015-02-13T16:49:29.3817472Z,humidity2,3,52
light,2015-02-13T16:49:29.3817472Z,light2,3,1272
temperature,2015-02-13T16:49:29.3927543Z,temperature3,3,78.32
energy,2015-02-13T16:49:29.3937552Z,energy3,3,13305
humidity,2015-02-13T16:49:29.3937552Z,humidity3,3,48
light,2015-02-13T16:49:29.3937552Z,light3,3,875
temperature,2015-02-13T16:49:29.4017614Z,temperature4,3,22.11
energy,2015-02-13T16:49:29.4017614Z,energy4,3,2140
humidity,2015-02-13T16:49:29.4017614Z,humidity4,3,77
light,2015-02-13T16:49:29.4017614Z,light4,3,2176
temperature,2015-02-13T16:49:29.4167705Z,temperature5,3,24.71
energy,2015-02-13T16:49:29.4167705Z,energy5,3,3594
humidity,2015-02-13T16:49:29.4167705Z,humidity5,3,149
light,2015-02-13T16:49:29.4167705Z,light5,3,1161
temperature,2015-02-13T16:49:29.4277785Z,temperature6,3,24.06
energy,2015-02-13T16:49:29.4277785Z,energy6,3,3389
humidity,2015-02-13T16:49:29.4277785Z,humidity6,3,66
light,2015-02-13T16:49:29.4287799Z,light6,3,1419
temperature,2015-02-13T16:49:29.4377860Z,temperature7,3,24.58
energy,2015-02-13T16:49:29.4377860Z,energy7,3,4343
humidity,2015-02-13T16:49:29.4377860Z,humidity7,3,69
light,2015-02-13T16:49:29.4377860Z,light7,3,1468
temperature,2015-02-13T16:49:29.4477936Z,temperature8,3,33.09
energy,2015-02-13T16:49:29.4477936Z,energy8,3,4803
humidity,2015-02-13T16:49:29.4477936Z,humidity8,3,49
light,2015-02-13T16:49:29.4477936Z,light8,3,147
temperature,2015-02-13T16:49:29.4578011Z,temperature9,3,22.29
energy,2015-02-13T16:49:29.4578011Z,energy9,3,3130
humidity,2015-02-13T16:49:29.4578011Z,humidity9,3,41
light,2015-02-13T16:49:29.4578011Z,light9,3,1023
temperature,2015-02-13T16:49:29.4688105Z,temperature0,4,23.37
energy,2015-02-13T16:49:29.4688105Z,energy0,4,3433
humidity,2015-02-13T16:49:29.4688105Z,humidity0,4,49
light,2015-02-13T16:49:29.4688105Z,light0,4,521
temperature,2015-02-13T16:49:29.4828182Z,temperature1,4,27.16
energy,2015-02-13T16:49:29.4828182Z,energy1,4,2438
humidity,2015-02-13T16:49:29.4828182Z,humidity1,4,64
light,2015-02-13T16:49:29.4828182Z,light1,4,468
temperature,2015-02-13T16:49:29.4908293Z,temperature2,4,27.89
energy,2015-02-13T16:49:29.4918262Z,energy2,4,4436
humidity,2015-02-13T16:49:29.4918262Z,humidity2,4,58
light,2015-02-13T16:49:29.4918262Z,light2,4,2085
temperature,2015-02-13T16:49:29.5008310Z,temperature3,4,69.5
energy,2015-02-13T16:49:29.5008310Z,energy3,4,7988
humidity,2015-02-13T16:49:29.5008310Z,humidity3,4,72
light,2015-02-13T16:49:29.5008310Z,light3,4,297
temperature,2015-02-13T16:49:29.5118391Z,temperature4,4,25.94
energy,2015-02-13T16:49:29.5118391Z,energy4,4,4469
humidity,2015-02-13T16:49:29.5118391Z,humidity4,4,58
light,2015-02-13T16:49:29.5118391Z,light4,4,154
temperature,2015-02-13T16:49:29.5198447Z,temperature5,4,22.46
energy,2015-02-13T16:49:29.5198447Z,energy5,4,4524
humidity,2015-02-13T16:49:29.5198447Z,humidity5,4,160
light,2015-02-13T16:49:29.5198447Z,light5,4,873
temperature,2015-02-13T16:49:29.5318546Z,temperature6,4,20.46
energy,2015-02-13T16:49:29.5318546Z,energy6,4,4760
humidity,2015-02-13T16:49:29.5318546Z,humidity6,4,110
light,2015-02-13T16:49:29.5318546Z,light6,4,385
temperature,2015-02-13T16:49:29.5418599Z,temperature7,4,28.04
energy,2015-02-13T16:49:29.5418599Z,energy7,4,2358
humidity,2015-02-13T16:49:29.5418599Z,humidity7,4,47
light,2015-02-13T16:49:29.5418599Z,light7,4,3650
temperature,2015-02-13T16:49:29.5518670Z,temperature8,4,23.52
energy,2015-02-13T16:49:29.5518670Z,energy8,4,3655
humidity,2015-02-13T16:49:29.5528689Z,humidity8,4,67
light,2015-02-13T16:49:29.5528689Z,light8,4,110
temperature,2015-02-13T16:49:29.5608736Z,temperature9,4,22.54
energy,2015-02-13T16:49:29.5608736Z,energy9,4,3418
humidity,2015-02-13T16:49:29.5608736Z,humidity9,4,73
light,2015-02-13T16:49:29.5608736Z,light9,4,599
temperature,2015-02-13T16:49:30.5726885Z,temperature0,0,27.58
energy,2015-02-13T16:49:30.5726885Z,energy0,0,4287
humidity,2015-02-13T16:49:30.5726885Z,humidity0,0,75
light,2015-02-13T16:49:30.5726885Z,light0,0,1257
temperature,2015-02-13T16:49:30.5816393Z,temperature1,0,22.74
energy,2015-02-13T16:49:30.5816393Z,energy1,0,4250
humidity,2015-02-13T16:49:30.5816393Z,humidity1,0,71
light,2015-02-13T16:49:30.5816393Z,light1,0,1019
temperature,2015-02-13T16:49:30.5886718Z,temperature2,0,27.81
energy,2015-02-13T16:49:30.5896450Z,energy2,0,4551
humidity,2015-02-13T16:49:30.5896450Z,humidity2,0,55
light,2015-02-13T16:49:30.5896450Z,light2,0,952
temperature,2015-02-13T16:49:30.6046831Z,temperature3,0,78.9
energy,2015-02-13T16:49:30.6046831Z,energy3,0,13690
humidity,2015-02-13T16:49:30.6046831Z,humidity3,0,50
light,2015-02-13T16:49:30.6046831Z,light3,0,969
temperature,2015-02-13T16:49:30.6146666Z,temperature4,0,24.98
energy,2015-02-13T16:49:30.6146666Z,energy4,0,4176
humidity,2015-02-13T16:49:30.6146666Z,humidity4,0,47
light,2015-02-13T16:49:30.6146666Z,light4,0,2330
temperature,2015-02-13T16:49:30.6226673Z,temperature5,0,23.52
energy,2015-02-13T16:49:30.6226673Z,energy5,0,3188
humidity,2015-02-13T16:49:30.6226673Z,humidity5,0,113
light,2015-02-13T16:49:30.6236736Z,light5,0,1386
temperature,2015-02-13T16:49:30.6316753Z,temperature6,0,25.6
energy,2015-02-13T16:49:30.6316753Z,energy6,0,3706
humidity,2015-02-13T16:49:30.6316753Z,humidity6,0,125
light,2015-02-13T16:49:30.6316753Z,light6,0,370
temperature,2015-02-13T16:49:30.6426820Z,temperature7,0,27.92
energy,2015-02-13T16:49:30.6426820Z,energy7,0,4174
humidity,2015-02-13T16:49:30.6426820Z,humidity7,0,73
light,2015-02-13T16:49:30.6426820Z,light7,0,823
temperature,2015-02-13T16:49:30.6506944Z,temperature8,0,23.77
energy,2015-02-13T16:49:30.6506944Z,energy8,0,2879
humidity,2015-02-13T16:49:30.6506944Z,humidity8,0,57
light,2015-02-13T16:49:30.6506944Z,light8,0,940
temperature,2015-02-13T16:49:30.6666991Z,temperature9,0,28.66
energy,2015-02-13T16:49:30.6677000Z,energy9,0,2633
humidity,2015-02-13T16:49:30.6677000Z,humidity9,0,45
light,2015-02-13T16:49:30.6677000Z,light9,0,577
temperature,2015-02-13T16:49:30.6767057Z,temperature0,1,21.11
energy,2015-02-13T16:49:30.6767057Z,energy0,1,2476
humidity,2015-02-13T16:49:30.6767057Z,humidity0,1,53
light,2015-02-13T16:49:30.6767057Z,light0,1,61
temperature,2015-02-13T16:49:30.6847181Z,temperature1,1,26.38
energy,2015-02-13T16:49:30.6847181Z,energy1,1,4192
humidity,2015-02-13T16:49:30.6847181Z,humidity1,1,78
light,2015-02-13T16:49:30.6847181Z,light1,1,17
temperature,2015-02-13T16:49:30.6977284Z,temperature2,1,20.55
energy,2015-02-13T16:49:30.6977284Z,energy2,1,4500
humidity,2015-02-13T16:49:30.6977284Z,humidity2,1,59
light,2015-02-13T16:49:30.6977284Z,light2,1,1228
temperature,2015-02-13T16:49:30.7057261Z,temperature3,1,62.6
energy,2015-02-13T16:49:30.7057261Z,energy3,1,13445
humidity,2015-02-13T16:49:30.7057261Z,humidity3,1,76
light,2015-02-13T16:49:30.7057261Z,light3,1,814
temperature,2015-02-13T16:49:30.7137608Z,temperature4,1,23.69
energy,2015-02-13T16:49:30.7137608Z,energy4,1,2364
humidity,2015-02-13T16:49:30.7137608Z,humidity4,1,42
light,2015-02-13T16:49:30.7137608Z,light4,1,2027
temperature,2015-02-13T16:49:30.7287427Z,temperature5,1,27.13
energy,2015-02-13T16:49:30.7287427Z,energy5,1,3705
humidity,2015-02-13T16:49:30.7287427Z,humidity5,1,140
light,2015-02-13T16:49:30.7287427Z,light5,1,251
temperature,2015-02-13T16:49:30.7387498Z,temperature6,1,19.93
energy,2015-02-13T16:49:30.7387498Z,energy6,1,2577
humidity,2015-02-13T16:49:30.7387498Z,humidity6,1,90
light,2015-02-13T16:49:30.7387498Z,light6,1,1415
temperature,2015-02-13T16:49:30.7467563Z,temperature7,1,27.07
energy,2015-02-13T16:49:30.7467563Z,energy7,1,4140
humidity,2015-02-13T16:49:30.7467563Z,humidity7,1,62
light,2015-02-13T16:49:30.7467563Z,light7,1,1508
temperature,2015-02-13T16:49:30.7557906Z,temperature8,1,30.28
energy,2015-02-13T16:49:30.7557906Z,energy8,1,5445
humidity,2015-02-13T16:49:30.7557906Z,humidity8,1,81
light,2015-02-13T16:49:30.7557906Z,light8,1,472
temperature,2015-02-13T16:49:30.7647687Z,temperature9,1,20.38
energy,2015-02-13T16:49:30.7647687Z,energy9,1,2925
humidity,2015-02-13T16:49:30.7647687Z,humidity9,1,41
light,2015-02-13T16:49:30.7647687Z,light9,1,1603
temperature,2015-02-13T16:49:30.7738034Z,temperature0,2,25.45
energy,2015-02-13T16:49:30.7738034Z,energy0,2,4786
humidity,2015-02-13T16:49:30.7738034Z,humidity0,2,43
light,2015-02-13T16:49:30.7738034Z,light0,2,70
temperature,2015-02-13T16:49:30.7907876Z,temperature1,2,22.13
energy,2015-02-13T16:49:30.7907876Z,energy1,2,2804
humidity,2015-02-13T16:49:30.7907876Z,humidity1,2,75
light,2015-02-13T16:49:30.7907876Z,light1,2,111
temperature,2015-02-13T16:49:30.7998219Z,temperature2,2,21.74
energy,2015-02-13T16:49:30.8007947Z,energy2,2,4153
humidity,2015-02-13T16:49:30.8007947Z,humidity2,2,43
light,2015-02-13T16:49:30.8007947Z,light2,2,1837
temperature,2015-02-13T16:49:30.8087990Z,temperature3,2,59.23
energy,2015-02-13T16:49:30.8087990Z,energy3,2,8804
humidity,2015-02-13T16:49:30.8087990Z,humidity3,2,60
light,2015-02-13T16:49:30.8087990Z,light3,2,1038
temperature,2015-02-13T16:49:30.8208370Z,temperature4,2,24.2
energy,2015-02-13T16:49:30.8208370Z,energy4,2,2552
humidity,2015-02-13T16:49:30.8218089Z,humidity4,2,79
light,2015-02-13T16:49:30.8218089Z,light4,2,1440
temperature,2015-02-13T16:49:30.8298222Z,temperature5,2,22.76
energy,2015-02-13T16:49:30.8298222Z,energy5,2,2501
humidity,2015-02-13T16:49:30.8308169Z,humidity5,2,100
light,2015-02-13T16:49:30.8308169Z,light5,2,663
temperature,2015-02-13T16:49:30.8378484Z,temperature6,2,22.4
energy,2015-02-13T16:49:30.8378484Z,energy6,2,2337
humidity,2015-02-13T16:49:30.8378484Z,humidity6,2,125
light,2015-02-13T16:49:30.8378484Z,light6,2,764
temperature,2015-02-13T16:49:30.8528321Z,temperature7,2,22.07
energy,2015-02-13T16:49:30.8528321Z,energy7,2,3878
humidity,2015-02-13T16:49:30.8528321Z,humidity7,2,54
light,2015-02-13T16:49:30.8528321Z,light7,2,525
temperature,2015-02-13T16:49:30.8628383Z,temperature8,2,24.48
energy,2015-02-13T16:49:30.8628383Z,energy8,2,2959
humidity,2015-02-13T16:49:30.8628383Z,humidity8,2,53
light,2015-02-13T16:49:30.8628383Z,light8,2,1532
temperature,2015-02-13T16:49:30.8708449Z,temperature9,2,24.15
energy,2015-02-13T16:49:30.8708449Z,energy9,2,3840
humidity,2015-02-13T16:49:30.8708449Z,humidity9,2,74
light,2015-02-13T16:49:30.8708449Z,light9,2,1368
temperature,2015-02-13T16:49:30.8798515Z,temperature0,3,22.4
energy,2015-02-13T16:49:30.8798515Z,energy0,3,3039
humidity,2015-02-13T16:49:30.8798515Z,humidity0,3,62
light,2015-02-13T16:49:30.8798515Z,light0,3,120
temperature,2015-02-13T16:49:30.8888563Z,temperature1,3,25.72
energy,2015-02-13T16:49:30.8888563Z,energy1,3,4061
humidity,2015-02-13T16:49:30.8888563Z,humidity1,3,47
light,2015-02-13T16:49:30.8888563Z,light1,3,388
temperature,2015-02-13T16:49:30.8978629Z,temperature2,3,23.02
energy,2015-02-13T16:49:30.8978629Z,energy2,3,2362
humidity,2015-02-13T16:49:30.8978629Z,humidity2,3,70
light,2015-02-13T16:49:30.8978629Z,light2,3,1932
temperature,2015-02-13T16:49:30.9078709Z,temperature3,3,63.38
energy,2015-02-13T16:49:30.9078709Z,energy3,3,9725
humidity,2015-02-13T16:49:30.9078709Z,humidity3,3,61
light,2015-02-13T16:49:30.9088714Z,light3,3,829
temperature,2015-02-13T16:49:30.9178776Z,temperature4,3,26.67
energy,2015-02-13T16:49:30.9178776Z,energy4,3,4126
humidity,2015-02-13T16:49:30.9178776Z,humidity4,3,69
light,2015-02-13T16:49:30.9178776Z,light4,3,433
temperature,2015-02-13T16:49:30.9278918Z,temperature5,3,22.54
energy,2015-02-13T16:49:30.9278918Z,energy5,3,3380
humidity,2015-02-13T16:49:30.9278918Z,humidity5,3,150
light,2015-02-13T16:49:30.9278918Z,light5,3,1054
temperature,2015-02-13T16:49:30.9358899Z,temperature6,3,23.1
energy,2015-02-13T16:49:30.9358899Z,energy6,3,4773
humidity,2015-02-13T16:49:30.9358899Z,humidity6,3,112
light,2015-02-13T16:49:30.9358899Z,light6,3,22
temperature,2015-02-13T16:49:30.9478989Z,temperature7,3,22.15
energy,2015-02-13T16:49:30.9478989Z,energy7,3,3901
humidity,2015-02-13T16:49:30.9478989Z,humidity7,3,43
light,2015-02-13T16:49:30.9478989Z,light7,3,3568
temperature,2015-02-13T16:49:30.9579060Z,temperature8,3,27.18
energy,2015-02-13T16:49:30.9579060Z,energy8,3,3212
humidity,2015-02-13T16:49:30.9579060Z,humidity8,3,59
light,2015-02-13T16:49:30.9579060Z,light8,3,1768
temperature,2015-02-13T16:49:30.9659108Z,temperature9,3,25.35
energy,2015-02-13T16:49:30.9659108Z,energy9,3,2401
humidity,2015-02-13T16:49:30.9659108Z,humidity9,3,68
light,2015-02-13T16:49:30.9659108Z,light9,3,1067
temperature,2015-02-13T16:49:30.9789212Z,temperature0,4,28.17
energy,2015-02-13T16:49:30.9789212Z,energy0,4,4170
humidity,2015-02-13T16:49:30.9789212Z,humidity0,4,42
light,2015-02-13T16:49:30.9789212Z,light0,4,263
temperature,2015-02-13T16:49:30.9879273Z,temperature1,4,27.82
energy,2015-02-13T16:49:30.9879273Z,energy1,4,3365
humidity,2015-02-13T16:49:30.9879273Z,humidity1,4,71
light,2015-02-13T16:49:30.9879273Z,light1,4,1046
temperature,2015-02-13T16:49:31.0029382Z,temperature2,4,25.28
energy,2015-02-13T16:49:31.0029382Z,energy2,4,3918
humidity,2015-02-13T16:49:31.0029382Z,humidity2,4,43
light,2015-02-13T16:49:31.0029382Z,light2,4,1637
temperature,2015-02-13T16:49:31.0139453Z,temperature3,4,78.37
energy,2015-02-13T16:49:31.0139453Z,energy3,4,11335
humidity,2015-02-13T16:49:31.0139453Z,humidity3,4,57
light,2015-02-13T16:49:31.0139453Z,light3,4,1487
temperature,2015-02-13T16:49:31.0269834Z,temperature4,4,24.88
energy,2015-02-13T16:49:31.0279606Z,energy4,4,4813
humidity,2015-02-13T16:49:31.0279606Z,humidity4,4,67
light,2015-02-13T16:49:31.0279606Z,light4,4,1902
temperature,2015-02-13T16:49:31.0499709Z,temperature5,4,28.4
energy,2015-02-13T16:49:31.0509723Z,energy5,4,2541
humidity,2015-02-13T16:49:31.0509723Z,humidity5,4,162
light,2015-02-13T16:49:31.0509723Z,light5,4,1287
temperature,2015-02-13T16:49:31.0599780Z,temperature6,4,19.97
energy,2015-02-13T16:49:31.0599780Z,energy6,4,4614
humidity,2015-02-13T16:49:31.0599780Z,humidity6,4,100
light,2015-02-13T16:49:31.0599780Z,light6,4,176
temperature,2015-02-13T16:49:31.0759889Z,temperature7,4,22.18
energy,2015-02-13T16:49:31.0769903Z,energy7,4,3644
humidity,2015-02-13T16:49:31.0769903Z,humidity7,4,73
light,2015-02-13T16:49:31.0769903Z,light7,4,2586
temperature,2015-02-13T16:49:31.0920083Z,temperature8,4,23.82
energy,2015-02-13T16:49:31.0920083Z,energy8,4,2891
humidity,2015-02-13T16:49:31.0920083Z,humidity8,4,59
light,2015-02-13T16:49:31.0920083Z,light8,4,1028
temperature,2015-02-13T16:49:31.1060112Z,temperature9,4,23.53
energy,2015-02-13T16:49:31.1060112Z,energy9,4,3880
humidity,2015-02-13T16:49:31.1060112Z,humidity9,4,67
light,2015-02-13T16:49:31.1060112Z,light9,4,1633
temperature,2015-02-13T16:49:32.1188698Z,temperature0,0,21.09
energy,2015-02-13T16:49:32.1188698Z,energy0,0,2533
humidity,2015-02-13T16:49:32.1188698Z,humidity0,0,55
light,2015-02-13T16:49:32.1188698Z,light0,0,1108
temperature,2015-02-13T16:49:32.1288805Z,temperature1,0,24.86
energy,2015-02-13T16:49:32.1288805Z,energy1,0,2951
humidity,2015-02-13T16:49:32.1288805Z,humidity1,0,78
light,2015-02-13T16:49:32.1288805Z,light1,0,1123
temperature,2015-02-13T16:49:32.1378817Z,temperature2,0,26.95
energy,2015-02-13T16:49:32.1378817Z,energy2,0,3171
humidity,2015-02-13T16:49:32.1378817Z,humidity2,0,56
light,2015-02-13T16:49:32.1378817Z,light2,0,1405
temperature,2015-02-13T16:49:32.1469173Z,temperature3,0,66.71
energy,2015-02-13T16:49:32.1478902Z,energy3,0,5621
humidity,2015-02-13T16:49:32.1478902Z,humidity3,0,65
light,2015-02-13T16:49:32.1478902Z,light3,0,1328
temperature,2015-02-13T16:49:32.1608992Z,temperature4,0,27.14
energy,2015-02-13T16:49:32.1608992Z,energy4,0,2983
humidity,2015-02-13T16:49:32.1608992Z,humidity4,0,44
light,2015-02-13T16:49:32.1608992Z,light4,0,2655
temperature,2015-02-13T16:49:32.1699058Z,temperature5,0,28
energy,2015-02-13T16:49:32.1699058Z,energy5,0,4036
humidity,2015-02-13T16:49:32.1699058Z,humidity5,0,109
light,2015-02-13T16:49:32.1699058Z,light5,0,89
temperature,2015-02-13T16:49:32.1799196Z,temperature6,0,27.24
energy,2015-02-13T16:49:32.1799196Z,energy6,0,3352
humidity,2015-02-13T16:49:32.1799196Z,humidity6,0,110
light,2015-02-13T16:49:32.1799196Z,light6,0,1372
temperature,2015-02-13T16:49:32.1879181Z,temperature7,0,23.99
energy,2015-02-13T16:49:32.1879181Z,energy7,0,4531
humidity,2015-02-13T16:49:32.1879181Z,humidity7,0,56
light,2015-02-13T16:49:32.1879181Z,light7,0,3810
temperature,2015-02-13T16:49:32.1959229Z,temperature8,0,26.54
energy,2015-02-13T16:49:32.1969252Z,energy8,0,5103
humidity,2015-02-13T16:49:32.1969252Z,humidity8,0,74
light,2015-02-13T16:49:32.1969252Z,light8,0,1377
temperature,2015-02-13T16:49:32.2059314Z,temperature9,0,26.95
energy,2015-02-13T16:49:32.2059314Z,energy9,0,2934
humidity,2015-02-13T16:49:32.2059314Z,humidity9,0,45
light,2015-02-13T16:49:32.2059314Z,light9,0,1284
temperature,2015-02-13T16:49:32.2139656Z,temperature0,1,28.36
energy,2015-02-13T16:49:32.2139656Z,energy0,1,4738
humidity,2015-02-13T16:49:32.2139656Z,humidity0,1,52
light,2015-02-13T16:49:32.2149514Z,light0,1,1575
temperature,2015-02-13T16:49:32.2239437Z,temperature1,1,21.02
energy,2015-02-13T16:49:32.2239437Z,energy1,1,2550
humidity,2015-02-13T16:49:32.2239437Z,humidity1,1,46
light,2015-02-13T16:49:32.2239437Z,light1,1,54
temperature,2015-02-13T16:49:32.2329494Z,temperature2,1,24.22
energy,2015-02-13T16:49:32.2329494Z,energy2,1,3439
humidity,2015-02-13T16:49:32.2329494Z,humidity2,1,70
light,2015-02-13T16:49:32.2329494Z,light2,1,192
temperature,2015-02-13T16:49:32.2459593Z,temperature3,1,69.11
energy,2015-02-13T16:49:32.2459593Z,energy3,1,11408
humidity,2015-02-13T16:49:32.2459593Z,humidity3,1,40
light,2015-02-13T16:49:32.2459593Z,light3,1,831
temperature,2015-02-13T16:49:32.2579960Z,temperature4,1,27.8
energy,2015-02-13T16:49:32.2579960Z,energy4,1,3017
humidity,2015-02-13T16:49:32.2579960Z,humidity4,1,71
light,2015-02-13T16:49:32.2579960Z,light4,1,283
temperature,2015-02-13T16:49:32.2669740Z,temperature5,1,25.16
energy,2015-02-13T16:49:32.2669740Z,energy5,1,2571
humidity,2015-02-13T16:49:32.2669740Z,humidity5,1,96
light,2015-02-13T16:49:32.2669740Z,light5,1,1655
temperature,2015-02-13T16:49:32.2749793Z,temperature6,1,19.61
energy,2015-02-13T16:49:32.2749793Z,energy6,1,3431
humidity,2015-02-13T16:49:32.2749793Z,humidity6,1,88
light,2015-02-13T16:49:32.2759847Z,light6,1,1223
temperature,2015-02-13T16:49:32.2859878Z,temperature7,1,23.87
energy,2015-02-13T16:49:32.2859878Z,energy7,1,4549
humidity,2015-02-13T16:49:32.2859878Z,humidity7,1,77
light,2015-02-13T16:49:32.2859878Z,light7,1,2041
temperature,2015-02-13T16:49:32.2950002Z,temperature8,1,25.66
energy,2015-02-13T16:49:32.2950002Z,energy8,1,3756
humidity,2015-02-13T16:49:32.2950002Z,humidity8,1,49
light,2015-02-13T16:49:32.2950002Z,light8,1,1729
temperature,2015-02-13T16:49:32.3040005Z,temperature9,1,23.32
energy,2015-02-13T16:49:32.3050019Z,energy9,1,3234
humidity,2015-02-13T16:49:32.3050019Z,humidity9,1,75
light,2015-02-13T16:49:32.3050019Z,light9,1,1143
temperature,2015-02-13T16:49:32.3130147Z,temperature0,2,22.37
energy,2015-02-13T16:49:32.3130147Z,energy0,2,4042
humidity,2015-02-13T16:49:32.3130147Z,humidity0,2,50
light,2015-02-13T16:49:32.3130147Z,light0,2,1758
temperature,2015-02-13T16:49:32.3240438Z,temperature1,2,20.68
energy,2015-02-13T16:49:32.3240438Z,energy1,2,2922
humidity,2015-02-13T16:49:32.3240438Z,humidity1,2,54
light,2015-02-13T16:49:32.3240438Z,light1,2,1005
temperature,2015-02-13T16:49:32.3330276Z,temperature2,2,26.79
energy,2015-02-13T16:49:32.3330276Z,energy2,2,2241
humidity,2015-02-13T16:49:32.3330276Z,humidity2,2,75
light,2015-02-13T16:49:32.3330276Z,light2,2,957
temperature,2015-02-13T16:49:32.3410266Z,temperature3,2,68.7
energy,2015-02-13T16:49:32.3410266Z,energy3,2,5982
humidity,2015-02-13T16:49:32.3410266Z,humidity3,2,44
light,2015-02-13T16:49:32.3410266Z,light3,2,1345
temperature,2015-02-13T16:49:32.3560437Z,temperature4,2,26.99
energy,2015-02-13T16:49:32.3560437Z,energy4,2,3108
humidity,2015-02-13T16:49:32.3560437Z,humidity4,2,74
light,2015-02-13T16:49:32.3570380Z,light4,2,1786
temperature,2015-02-13T16:49:32.3690465Z,temperature5,2,27.14
energy,2015-02-13T16:49:32.3690465Z,energy5,2,3422
humidity,2015-02-13T16:49:32.3690465Z,humidity5,2,131
light,2015-02-13T16:49:32.3690465Z,light5,2,1118
temperature,2015-02-13T16:49:32.3840574Z,temperature6,2,24.72
energy,2015-02-13T16:49:32.3840574Z,energy6,2,2771
humidity,2015-02-13T16:49:32.3840574Z,humidity6,2,121
light,2015-02-13T16:49:32.3840574Z,light6,2,291
temperature,2015-02-13T16:49:32.3940640Z,temperature7,2,25.87
energy,2015-02-13T16:49:32.3940640Z,energy7,2,2120
humidity,2015-02-13T16:49:32.3940640Z,humidity7,2,42
light,2015-02-13T16:49:32.3940640Z,light7,2,1908
temperature,2015-02-13T16:49:32.4020746Z,temperature8,2,28.65
energy,2015-02-13T16:49:32.4020746Z,energy8,2,2949
humidity,2015-02-13T16:49:32.4020746Z,humidity8,2,86
light,2015-02-13T16:49:32.4030706Z,light8,2,1611
temperature,2015-02-13T16:49:32.4210839Z,temperature9,2,28.27
energy,2015-02-13T16:49:32.4220844Z,energy9,2,2496
humidity,2015-02-13T16:49:32.4220844Z,humidity9,2,72
light,2015-02-13T16:49:32.4220844Z,light9,2,1234
temperature,2015-02-13T16:49:32.4310896Z,temperature0,3,20.71
energy,2015-02-13T16:49:32.4310896Z,energy0,3,4381
humidity,2015-02-13T16:49:32.4310896Z,humidity0,3,76
light,2015-02-13T16:49:32.4310896Z,light0,3,685
temperature,2015-02-13T16:49:32.4461014Z,temperature1,3,28.88
energy,2015-02-13T16:49:32.4461014Z,energy1,3,3464
humidity,2015-02-13T16:49:32.4461014Z,humidity1,3,78
light,2015-02-13T16:49:32.4461014Z,light1,3,269
temperature,2015-02-13T16:49:32.4581104Z,temperature2,3,22.17
energy,2015-02-13T16:49:32.4581104Z,energy2,3,2853
humidity,2015-02-13T16:49:32.4591109Z,humidity2,3,46
light,2015-02-13T16:49:32.4591109Z,light2,3,51
temperature,2015-02-13T16:49:32.4751218Z,temperature3,3,69.27
energy,2015-02-13T16:49:32.4761227Z,energy3,3,7475
humidity,2015-02-13T16:49:32.4761227Z,humidity3,3,72
light,2015-02-13T16:49:32.4761227Z,light3,3,1456
temperature,2015-02-13T16:49:32.4881313Z,temperature4,3,20.89
energy,2015-02-13T16:49:32.4891335Z,energy4,3,3868
humidity,2015-02-13T16:49:32.4891335Z,humidity4,3,57
light,2015-02-13T16:49:32.4891335Z,light4,3,2298
temperature,2015-02-13T16:49:32.4981379Z,temperature5,3,23.55
energy,2015-02-13T16:49:32.4981379Z,energy5,3,2627
humidity,2015-02-13T16:49:32.4981379Z,humidity5,3,157
light,2015-02-13T16:49:32.4981379Z,light5,3,1322
temperature,2015-02-13T16:49:32.5101469Z,temperature6,3,19.83
energy,2015-02-13T16:49:32.5101469Z,energy6,3,3223
humidity,2015-02-13T16:49:32.5101469Z,humidity6,3,126
light,2015-02-13T16:49:32.5101469Z,light6,3,678
temperature,2015-02-13T16:49:32.5221554Z,temperature7,3,21.88
